127.0.0.1 - - [02/Sep/2023:00:14:27 +0900] "POST /wp-cron.php?doing_wp_cron=1693581267.2734649181365966796875 HTTP/1.0" 200 -
127.0.0.1 - - [02/Sep/2023:00:14:28 +0900] "GET / HTTP/1.0" 200 49526
127.0.0.1 - - [02/Sep/2023:00:14:28 +0900] "POST /wp-cron.php?doing_wp_cron=1693581268.2797830104827880859375 HTTP/1.0" 200 -
127.0.0.1 - - [02/Sep/2023:00:15:25 +0900] "GET / HTTP/1.0" 200 49502
127.0.0.1 - - [02/Sep/2023:00:15:25 +0900] "GET /wp-includes/blocks/navigation/view.min.js?ver=886680af40b7521d60fc HTTP/1.0" 200 1136
127.0.0.1 - - [02/Sep/2023:00:15:25 +0900] "GET /wp-includes/blocks/navigation/style.min.css?ver=6.3.1 HTTP/1.0" 200 16081
127.0.0.1 - - [02/Sep/2023:00:15:25 +0900] "GET /wp-includes/blocks/navigation/view-modal.min.js?ver=b478fa3cd1475dec97d3 HTTP/1.0" 200 7814
127.0.0.1 - - [02/Sep/2023:00:15:25 +0900] "GET /favicon.ico HTTP/1.0" 302 -
127.0.0.1 - - [02/Sep/2023:00:15:25 +0900] "GET /wp-includes/images/w-logo-blue-white-bg.png HTTP/1.0" 200 4119
127.0.0.1 - - [02/Sep/2023:00:15:49 +0900] "GET /wp-admin/ HTTP/1.0" 302 -
127.0.0.1 - - [02/Sep/2023:00:15:50 +0900] "GET /wp-login.php?redirect_to=http%3A%2F%2Fmysite.local%2Fwp-admin%2F&reauth=1 HTTP/1.0" 200 5180
127.0.0.1 - - [02/Sep/2023:00:15:50 +0900] "GET /wp-includes/css/dashicons.min.css?ver=6.3.1 HTTP/1.0" 200 59016
127.0.0.1 - - [02/Sep/2023:00:15:50 +0900] "GET /wp-includes/css/buttons.min.css?ver=6.3.1 HTTP/1.0" 200 5854
127.0.0.1 - - [02/Sep/2023:00:15:50 +0900] "GET /wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1 HTTP/1.0" 200 13577
127.0.0.1 - - [02/Sep/2023:00:15:50 +0900] "GET /wp-admin/css/forms.min.css?ver=6.3.1 HTTP/1.0" 200 27428
127.0.0.1 - - [02/Sep/2023:00:15:50 +0900] "GET /wp-includes/js/jquery/jquery.min.js?ver=3.7.0 HTTP/1.0" 200 87482
127.0.0.1 - - [02/Sep/2023:00:15:50 +0900] "GET /wp-admin/css/login.min.css?ver=6.3.1 HTTP/1.0" 200 6288
127.0.0.1 - - [02/Sep/2023:00:15:50 +0900] "GET /wp-admin/css/l10n.min.css?ver=6.3.1 HTTP/1.0" 200 2477
127.0.0.1 - - [02/Sep/2023:00:15:50 +0900] "GET /wp-includes/js/zxcvbn-async.min.js?ver=1.0 HTTP/1.0" 200 351
127.0.0.1 - - [02/Sep/2023:00:15:50 +0900] "GET /wp-includes/js/dist/vendor/wp-polyfill-inert.min.js?ver=3.1.2 HTTP/1.0" 200 8171
127.0.0.1 - - [02/Sep/2023:00:15:50 +0900] "GET /wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.11 HTTP/1.0" 200 6607
127.0.0.1 - - [02/Sep/2023:00:15:50 +0900] "GET /wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0 HTTP/1.0" 200 16146
127.0.0.1 - - [02/Sep/2023:00:15:50 +0900] "GET /wp-includes/js/dist/i18n.min.js?ver=7701b0c3857f914212ef HTTP/1.0" 200 9445
127.0.0.1 - - [02/Sep/2023:00:15:50 +0900] "GET /wp-admin/js/password-strength-meter.min.js?ver=6.3.1 HTTP/1.0" 200 1123
127.0.0.1 - - [02/Sep/2023:00:15:50 +0900] "GET /wp-includes/js/underscore.min.js?ver=1.13.4 HTTP/1.0" 200 18833
127.0.0.1 - - [02/Sep/2023:00:15:50 +0900] "GET /wp-includes/js/dist/hooks.min.js?ver=c6aec9a8d4e5a5d543a1 HTTP/1.0" 200 4627
127.0.0.1 - - [02/Sep/2023:00:15:50 +0900] "GET /wp-includes/js/wp-util.min.js?ver=6.3.1 HTTP/1.0" 200 1426
127.0.0.1 - - [02/Sep/2023:00:15:50 +0900] "GET /wp-admin/js/user-profile.min.js?ver=6.3.1 HTTP/1.0" 200 6276
127.0.0.1 - - [02/Sep/2023:00:15:50 +0900] "GET /wp-admin/images/wordpress-logo.svg?ver=20131107 HTTP/1.0" 200 1521
127.0.0.1 - - [02/Sep/2023:00:15:50 +0900] "GET /wp-includes/js/zxcvbn.min.js HTTP/1.0" 200 822237
127.0.0.1 - - [02/Sep/2023:00:16:26 +0900] "POST /wp-login.php HTTP/1.0" 302 -
127.0.0.1 - - [02/Sep/2023:00:16:27 +0900] "GET /wp-admin/ HTTP/1.0" 200 69758
127.0.0.1 - - [02/Sep/2023:00:16:28 +0900] "GET /wp-includes/js/thickbox/thickbox.css?ver=6.3.1 HTTP/1.0" 200 2659
127.0.0.1 - - [02/Sep/2023:00:16:28 +0900] "GET /wp-includes/css/editor.min.css?ver=6.3.1 HTTP/1.0" 200 26937
127.0.0.1 - - [02/Sep/2023:00:16:28 +0900] "GET /wp-admin/js/common.min.js?ver=6.3.1 HTTP/1.0" 200 20538
127.0.0.1 - - [02/Sep/2023:00:16:28 +0900] "GET /wp-includes/js/hoverintent-js.min.js?ver=2.2.1 HTTP/1.0" 200 1718
127.0.0.1 - - [02/Sep/2023:00:16:28 +0900] "GET /wp-includes/js/admin-bar.min.js?ver=6.3.1 HTTP/1.0" 200 3536
127.0.0.1 - - [02/Sep/2023:00:16:28 +0900] "GET /wp-includes/js/clipboard.min.js?ver=2.0.11 HTTP/1.0" 200 9009
